Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
04.01.2017-09:00,5.5,0,1002.2,-5.1,-0.6,54,0
04.01.2017-10:00,8.8,0,1003.5,0.7,-1.2,42,0
04.01.2017-11:00,8.9,29,1004.7,37.6,-1.8,44,0
04.01.2017-12:00,7.4,42,1006.1,75.5,-2.1,45,128.9166
04.01.2017-13:00,7.2,1,1007.9,33.7,-2.5,47,101.5
04.01.2017-14:00,7.8,0,1009.8,21.8,-3,60,18
04.01.2017-15:00,7.8,0,1011.4,15.7,-3.6,64,0
04.01.2017-16:00,6.1,0,1013.5,-0.5,-4,60,0
04.01.2017-17:00,6.4,0,1014.9,-5.3,-4,62,0
04.01.2017-18:00,7.3,0,1016.8,-5.6,-4.5,68,0
04.01.2017-19:00,5.2,0,1018.5,-5.5,-5.2,81,0
04.01.2017-20:00,4.7,0,1020.4,-5.1,-5.5,76,0
04.01.2017-21:00,4.8,0,1022.2,-5,-5.6,73,0
04.01.2017-22:00,4.7,0,1023.9,-4.8,-6.2,72,0
04.01.2017-23:00,1.9,0,1025.5,-5.9,-7.1,72,0
05.01.2017-00:00,2.9,0,1026.9,-5.9,-7.7,71,0
05.01.2017-01:00,2.7,0,1028.2,-6.2,-8.2,71,0
05.01.2017-02:00,1,0,1029.2,-6.7,-9.2,73,0
05.01.2017-03:00,1.2,0,1030.4,-6.6,-9.8,76,0
05.01.2017-04:00,2.5,0,1031,-6.9,-10,74,0
05.01.2017-05:00,2.2,0,1032.4,-6.5,-10,71,0
05.01.2017-06:00,1.3,0,1033.1,-6.2,-10.6,75,0
05.01.2017-07:00,0.8,0,1034,-5.9,-11.5,80,0
05.01.2017-08:00,1.5,0,1034.7,-6.2,-11.8,80,0
05.01.2017-09:00,2.4,0,1035.2,-6.7,-12.1,79,0
05.01.2017-10:00,2.3,26,1036,8.6,-11.4,76,0
05.01.2017-11:00,2.1,60,1036.6,56.1,-10.1,72,0
05.01.2017-12:00,0.4,60,1036.7,96.8,-9.5,71,353.1667
05.01.2017-13:00,1.2,60,1036.9,106.7,-7.8,66,236.5
05.01.2017-14:00,1.3,39,1037.4,65.9,-8.4,70,0
05.01.2017-15:00,1.6,33,1037.9,22.3,-8.5,76,0
05.01.2017-16:00,1.6,3,1038,0.6,-8.9,74,0
05.01.2017-17:00,0.6,0,1038.1,-6.1,-10.1,81,0
05.01.2017-18:00,1.9,0,1038.3,-6.6,-10.8,83,0
05.01.2017-19:00,0.3,0,1038.6,-6.7,-10.4,82,0
05.01.2017-20:00,1.8,0,1038.5,-6.4,-10.9,83,0
05.01.2017-21:00,1.5,0,1038.7,-6.4,-11.1,83,0
05.01.2017-22:00,2,0,1038.9,-5.8,-10.8,83,0
05.01.2017-23:00,1.4,0,1038.5,-5.6,-10.6,81,0
06.01.2017-00:00,1.9,0,1038.3,-6.5,-11,83,0
06.01.2017-01:00,2.2,0,1037.8,-6,-11.6,85,0
06.01.2017-02:00,2.2,0,1037.3,-5.7,-11.4,85,0
06.01.2017-03:00,2.4,0,1036.5,-5.8,-11.6,85,0
06.01.2017-04:00,1.5,0,1036.4,-5.8,-11.9,85,0
06.01.2017-05:00,1.8,0,1036,-5.8,-12.2,85,0
06.01.2017-06:00,1.2,0,1035.7,-5.9,-12.4,84,0
06.01.2017-07:00,1.1,0,1035,-5.5,-11,84,0
06.01.2017-08:00,0.5,0,1034.5,-5.5,-10.6,90,0
06.01.2017-09:00,1.3,0,1033.9,-5.2,-10,89,0
06.01.2017-10:00,0.7,0,1033.6,5,-9.2,86,0
06.01.2017-11:00,1.2,0,1032.7,16.1,-6.2,86,0
06.01.2017-12:00,1.7,0,1031.9,16.2,-5,86,0
06.01.2017-13:00,2.4,0,1030.8,21,-4.5,89,0
06.01.2017-14:00,2.6,0,1030.1,15.1,-4.2,93,0
06.01.2017-15:00,5,0,1028.7,1.9,-2,94,0
06.01.2017-16:00,3.1,0,1028,-1.9,-1.7,93,0
06.01.2017-17:00,3.9,0,1027,-4.5,-1.3,94,0
06.01.2017-18:00,3.8,0,1025.5,-4.5,-0.9,95,0
06.01.2017-19:00,3.3,0,1024.4,-5,-0.4,97,0
06.01.2017-20:00,4.4,0,1022.6,-5,0.5,98,0
06.01.2017-21:00,5,0,1021.2,-4.4,1.4,96,0
06.01.2017-22:00,4.9,0,1020.1,-4.7,2.1,93,0
06.01.2017-23:00,4.4,0,1019.5,-4.5,2.5,90,0
07.01.2017-00:00,3.7,0,1019.1,-4.4,2.7,89,0
07.01.2017-01:00,3.7,0,1018.3,-4.6,2.8,90,0
07.01.2017-02:00,3.6,0,1017.4,-4.8,2.9,90,0
07.01.2017-03:00,2.8,0,1016.7,-5.1,2.9,93,0
07.01.2017-04:00,0.7,0,1016.3,-5.9,2.1,94,0
07.01.2017-05:00,0.5,0,1016.5,-7.1,1.1,96,0
07.01.2017-06:00,0.9,0,1016.6,-6.6,0.8,97,0
07.01.2017-07:00,2.9,0,1017,-6.2,0.6,97,0
07.01.2017-08:00,3.7,0,1017.9,-6.4,0.5,97,0
07.01.2017-09:00,1.8,0,1019.6,-6.3,-0.7,96,0
07.01.2017-10:00,1.8,0,1020.4,2.9,0.1,92,0
07.01.2017-11:00,2.6,0,1021.2,33.4,0.9,83,218.5
07.01.2017-12:00,1,0,1022,60,0.7,85,830.1667
07.01.2017-13:00,0.4,60,1022.5,97.1,1.5,82,1095.1666
07.01.2017-14:00,1.1,60,1022.8,86.6,1.3,82,471.5
07.01.2017-15:00,1.4,30,1023.3,40.6,0.6,84,179.3333
07.01.2017-16:00,0.6,0,1023.8,-0.5,-0.8,90,0
07.01.2017-17:00,1.6,0,1024.6,-6.9,-2,88,0
07.01.2017-18:00,1.5,0,1025.5,-7.1,-2.6,92,0
07.01.2017-19:00,1.1,0,1025.7,-6.7,-2.9,91,0
07.01.2017-20:00,1.2,0,1026.2,-7.2,-3.2,92,0
07.01.2017-21:00,1.2,0,1026.5,-6.7,-3.2,91,0
07.01.2017-22:00,0.6,0,1026.8,-4.6,-4.6,92,0
07.01.2017-23:00,1.3,0,1027.1,-6.4,-4.4,92,0
08.01.2017-00:00,1.4,0,1026.9,-6.2,-4.3,90,0
08.01.2017-01:00,1.6,0,1027,-7.1,-5.1,92,0
08.01.2017-02:00,1.6,0,1026.4,-7.1,-5.6,92,0
08.01.2017-03:00,0.8,0,1026.2,-6.3,-6.7,94,0
08.01.2017-04:00,0.9,0,1025.7,-5.7,-6,92,0
08.01.2017-05:00,1,0,1025,-5,-5,95,0
08.01.2017-06:00,0.9,0,1024.8,-4.6,-4.6,96,0
08.01.2017-07:00,0.5,0,1024.3,-5.1,-3.9,98,0
08.01.2017-08:00,1.1,0,1024.1,-4.6,-3.6,97,0
08.01.2017-09:00,0.8,0,1023.9,-4.8,-3.4,98,0
08.01.2017-10:00,0.8,0,1023.4,-1.7,-2.9,97,0
08.01.2017-11:00,1.2,0,1023,7.7,-2.9,98,141.8333
08.01.2017-12:00,0.8,0,1023.2,22.7,-2.7,98,699.8334
08.01.2017-13:00,0.5,0,1022.7,52.1,-2,98,1384.1667
08.01.2017-14:00,0.9,0,1021.9,53.4,-1.9,96,432
08.01.2017-15:00,0.9,0,1021.4,19.2,-1.8,96,106.4999
08.01.2017-16:00,1.1,0,1021.5,-1.8,-1.7,96,0
08.01.2017-17:00,0.4,0,1021.2,-6.4,-2,94,0
08.01.2017-18:00,1.2,0,1020.9,-6.9,-2.4,94,0
08.01.2017-19:00,0.7,0,1020.7,-6.4,-2.6,96,0
08.01.2017-20:00,0.8,0,1020.1,-6.4,-2.8,96,0
08.01.2017-21:00,0.6,0,1019.9,-6,-2.6,97,0
08.01.2017-22:00,0.1,0,1019.9,-6,-2.4,97,0
08.01.2017-23:00,1.6,0,1019.5,-5.4,-2.2,98,0
09.01.2017-00:00,1.1,0,1019.6,-5.8,-2.6,97,0
09.01.2017-01:00,0.7,0,1019.5,-6.3,-2.6,97,0
09.01.2017-02:00,1.8,0,1019.4,-6.4,-2.7,95,0
09.01.2017-03:00,2.5,0,1018.4,-5.8,-1.9,94,0
09.01.2017-04:00,1.6,0,1017.6,-5.8,-2.4,94,0
09.01.2017-05:00,0.5,0,1017.1,-6.7,-2.7,96,0
09.01.2017-06:00,0.9,0,1016.5,-6.2,-2.6,96,0
09.01.2017-07:00,0.4,0,1015.6,-5.3,-1.8,95,0
09.01.2017-08:00,1.1,0,1015,-5.8,-1.3,96,0
09.01.2017-09:00,0.7,0,1014.5,-5.1,-0.4,98,0
09.01.2017-10:00,1.5,0,1013.8,-0.6,-0.4,98,0
09.01.2017-11:00,0.9,0,1013.4,8.7,-0.1,99,79.5
09.01.2017-12:00,1.1,0,1012.5,16.1,0.2,99,163.8333
09.01.2017-13:00,0.9,0,1011.7,20.9,0.3,99,207.5
09.01.2017-14:00,0.6,0,1010.7,15.7,0.6,99,112.5001
09.01.2017-15:00,1.2,0,1009.8,3.2,1.2,99,31.5
09.01.2017-16:00,0.6,0,1009.5,-3.3,1.6,99,0
09.01.2017-17:00,1.8,0,1008.9,-5,2.1,99,0
09.01.2017-18:00,0.6,0,1007.7,-5.4,2.4,99,0
09.01.2017-19:00,1.3,0,1007.2,-5.8,2.6,99,0
09.01.2017-20:00,3.1,0,1006.7,-6.2,3.8,99,0
09.01.2017-21:00,4.6,0,1006.1,-5.3,4.5,100,0
09.01.2017-22:00,5.3,0,1005.9,-4.5,4.3,99,0
09.01.2017-23:00,4.5,0,1005.4,-4.7,4.1,98,0
10.01.2017-00:00,4.6,0,1005.1,-4.9,3.9,97,0
10.01.2017-01:00,4.2,0,1004.6,-5,3.8,97,0
10.01.2017-02:00,3.9,0,1004.4,-4.7,3.5,96,0
10.01.2017-03:00,4,0,1004.1,-4.9,3.2,95,0
10.01.2017-04:00,3.7,0,1003.8,-4.7,2.8,96,0
10.01.2017-05:00,3.7,0,1003.5,-4.8,2.4,96,0
10.01.2017-06:00,4.1,0,1003.3,-4.8,2.1,96,0
10.01.2017-07:00,3.8,0,1003.3,-4.6,2,96,0
10.01.2017-08:00,3,0,1003.5,-4.8,1.9,96,0
10.01.2017-09:00,2.9,0,1003.6,-4.8,1.7,96,0
10.01.2017-10:00,2.7,0,1003.3,-1.9,1.6,95,0
10.01.2017-11:00,4.4,0,1003.2,23,1.7,94,660.4999
10.01.2017-12:00,4.3,0,1002.8,16.1,1.6,94,397.1667
10.01.2017-13:00,3.8,0,1002.1,14,1.5,95,296.1667
10.01.2017-14:00,3.2,0,1001.5,6.1,1.4,95,162.6667
10.01.2017-15:00,3.8,0,1001.1,-1.1,1.3,95,11.5
10.01.2017-16:00,3.2,0,1000.7,-3.5,1.6,96,0
10.01.2017-17:00,3,0,1000,-3.7,2.1,96,0
10.01.2017-18:00,3.7,0,999.7,-3.9,2.9,97,0
10.01.2017-19:00,3,0,999.4,-4.8,3.1,97,0
10.01.2017-20:00,3.4,0,998.8,-5.2,3.5,94,0
10.01.2017-21:00,4.9,0,997.9,-5.1,3.8,94,0
10.01.2017-22:00,6.1,0,996.8,-4.7,3.6,94,0
10.01.2017-23:00,6.1,0,995.2,-4.4,3.8,96,0
11.01.2017-00:00,6.4,0,994.4,-4.1,4.7,96,0
11.01.2017-01:00,5.7,0,993.1,-4.6,4.9,96,0
11.01.2017-02:00,5.7,0,991.7,-4.6,5.2,89,0
11.01.2017-03:00,6.5,0,990.4,-4.7,5.3,88,0
11.01.2017-04:00,4.8,0,989.4,-4.8,5.2,91,0
11.01.2017-05:00,5.5,0,987.5,-4.4,5.2,89,0
11.01.2017-06:00,7.3,0,985.5,-4.3,5,89,0
11.01.2017-07:00,6.6,0,983.6,-4.5,4.6,92,0
11.01.2017-08:00,7.9,0,981.4,-3.7,4.1,92,0
11.01.2017-09:00,8.5,0,979.2,-3.7,3.6,91,0
11.01.2017-10:00,4.2,0,977.1,-2.3,2.6,93,0
11.01.2017-11:00,3.8,0,974.5,3.6,1.6,93,0
11.01.2017-12:00,4,0,971.5,17.5,1.6,92,0
11.01.2017-13:00,3.2,0,969.2,10.1,1.5,93,65.5
11.01.2017-14:00,3.6,0,967.6,8.7,2.5,94,178.3334
11.01.2017-15:00,3.4,0,966.3,1.4,2.5,92,0
11.01.2017-16:00,3.5,0,965.9,-3,1.8,92,0
11.01.2017-17:00,3,0,966.2,-5.3,1.7,94,0
11.01.2017-18:00,2.5,0,966.9,-6,2.1,88,0
11.01.2017-19:00,1.7,0,968,-6.5,1.3,94,0
11.01.2017-20:00,1.8,0,969,-6,2.1,87,0
11.01.2017-21:00,0.8,0,970.3,-6.7,0.9,95,0
11.01.2017-22:00,1.4,0,971.4,-6.1,0.9,96,0
11.01.2017-23:00,3.3,0,972.3,-5.6,2.5,74,0
12.01.2017-00:00,2.2,0,973.7,-5.8,2,74,0
12.01.2017-01:00,2.9,0,974.5,-6.1,2.1,72,0
12.01.2017-02:00,3.7,0,974.7,-6.6,1.6,71,0
12.01.2017-03:00,4,0,974.7,-6.6,0.6,77,0
12.01.2017-04:00,3.7,0,975.2,-6.6,0.5,73,0
12.01.2017-05:00,2.1,0,975,-6.4,0.4,77,0
12.01.2017-06:00,1.1,0,974.6,-6.2,0.2,80,0
12.01.2017-07:00,1.8,0,974.3,-6.4,0.3,82,0
12.01.2017-08:00,1.3,0,974.9,-6.7,0.2,85,0
12.01.2017-09:00,2.2,0,975.5,-6,0.3,84,0
12.01.2017-10:00,0.8,0,975.9,3.9,-0.2,89,0
12.01.2017-11:00,1.2,0,976,29.4,0.5,82,113
12.01.2017-12:00,1.6,0,976.7,51.5,0.9,80,368.5
12.01.2017-13:00,1.8,0,976.5,58,1.3,79,429
12.01.2017-14:00,1.8,25,976.7,93.8,2.2,76,414.3333
12.01.2017-15:00,3.3,0,976.9,13,1.9,78,38.8333
12.01.2017-16:00,1.8,22,977.1,1.7,2.1,75,0
12.01.2017-17:00,1.6,0,977.5,-6.2,0.9,78,0
12.01.2017-18:00,1,0,977.7,-6.4,1,78,0
12.01.2017-19:00,1.6,0,978.1,-7.2,0.8,77,0
12.01.2017-20:00,2.7,0,978.4,-6,0.9,76,0
12.01.2017-21:00,1.4,0,979.1,-5.7,0.9,75,0
12.01.2017-22:00,3.8,0,979.6,-5.8,1.3,72,0
12.01.2017-23:00,3.2,0,980.1,-5.7,1.6,68,0
13.01.2017-00:00,2.2,0,980.4,-5.6,1.4,69,0
13.01.2017-01:00,0.5,0,980.9,-6.3,0.2,75,0
13.01.2017-02:00,0.8,0,981.7,-7.3,-1.2,81,0
13.01.2017-03:00,2.2,0,982.4,-7.5,-1.2,80,0
13.01.2017-04:00,0.2,0,982.7,-7,-1.8,79,0
13.01.2017-05:00,1,0,983.3,-7.8,-2.6,86,0
13.01.2017-06:00,1.9,0,983.9,-7.7,-3.1,87,0
13.01.2017-07:00,1.8,0,984.3,-7.3,-3.7,89,0
13.01.2017-08:00,0.8,0,985.3,-7.6,-4.2,89,0
13.01.2017-09:00,1.2,0,986.1,-6.2,-4.5,90,0
13.01.2017-10:00,1.5,31,986.7,11.7,-4.3,89,0
13.01.2017-11:00,2.4,60,987,64.1,-2.4,83,194.5001
13.01.2017-12:00,1.3,60,987.3,111.5,-1,78,1342.6666
13.01.2017-13:00,1.5,60,987.6,124,-0.7,79,1044.1666
13.01.2017-14:00,0.2,60,988,103.6,-1,76,192.3333
13.01.2017-15:00,1.3,60,988.2,56.2,-1.1,78,110.9999
13.01.2017-16:00,0.6,33,988.7,6.7,-2.5,85,0
13.01.2017-17:00,1.3,0,989.3,-6.7,-3.3,87,0
13.01.2017-18:00,1.4,0,989.8,-7,-3.9,88,0
13.01.2017-19:00,2.9,0,990.3,-7.3,-4.2,87,0
13.01.2017-20:00,2.1,0,990.5,-7.1,-4.4,86,0
13.01.2017-21:00,0.6,0,990.9,-7.3,-5.3,89,0
13.01.2017-22:00,0.3,0,991.3,-6.5,-5.4,89,0
13.01.2017-23:00,0.1,0,991.8,-6.4,-5.3,92,0
14.01.2017-00:00,0.5,0,992.1,-6.9,-5.7,91,0
14.01.2017-01:00,0.9,0,992.3,-6.9,-5.6,91,0
14.01.2017-02:00,1.4,0,992.9,-7,-6.2,93,0
14.01.2017-03:00,1,0,993.2,-6.9,-6.2,91,0
14.01.2017-04:00,0.2,0,993.7,-7.1,-6.6,93,0
14.01.2017-05:00,0.3,0,994.1,-6.7,-5.7,91,0
14.01.2017-06:00,0.4,0,994.8,-6.3,-5.7,92,0
14.01.2017-07:00,0.2,0,995.4,-5.6,-4.4,90,0
14.01.2017-08:00,0.8,0,996.2,-5.7,-3.4,88,0
14.01.2017-09:00,1.2,0,996.9,-5.4,-3,88,0
14.01.2017-10:00,1.1,0,997.8,14.8,-2.1,85,128
14.01.2017-11:00,0.7,0,998.6,37.3,-0.9,80,537.8333
14.01.2017-12:00,4.3,0,999.2,60,0.3,66,917.6666
14.01.2017-13:00,4.5,0,999.8,43.6,0.2,64,511.4999
14.01.2017-14:00,5.3,0,1000.7,37.8,-0.1,66,258.8333
14.01.2017-15:00,5.9,0,1001.7,36.4,-0.6,68,79.6667
14.01.2017-16:00,5,0,1002.9,6.2,-0.7,66,10.3333
14.01.2017-17:00,6.4,0,1003.9,-5.4,-1,58,0
14.01.2017-18:00,3,0,1004.7,-6.2,-2.2,62,0
14.01.2017-19:00,3.8,0,1005.5,-6.2,-1.9,57,0
14.01.2017-20:00,2.5,0,1006.3,-7.1,-3,62,0
14.01.2017-21:00,3.3,0,1007.1,-7.2,-3.1,60,0
14.01.2017-22:00,3,0,1007.8,-7.3,-3.9,60,0
14.01.2017-23:00,2.1,0,1008.7,-7,-3.6,57,0
15.01.2017-00:00,4.5,0,1009.4,-7,-3.9,62,0
15.01.2017-01:00,3,0,1010.1,-6.9,-4.5,64,0
15.01.2017-02:00,1.8,0,1010.5,-7.2,-5.4,70,0
15.01.2017-03:00,0.7,0,1011.5,-7,-6.2,73,0
15.01.2017-04:00,1.3,0,1012.1,-6.8,-5.5,71,0
15.01.2017-05:00,1.7,0,1012.5,-6.9,-5.4,70,0
15.01.2017-06:00,1.7,0,1013.1,-7,-5,68,0
15.01.2017-07:00,0.7,0,1013.9,-7.2,-5.5,68,0
15.01.2017-08:00,1.1,0,1014.5,-6.9,-6.1,70,0
15.01.2017-09:00,1.7,0,1015.6,-5.8,-6.2,71,0
15.01.2017-10:00,0.9,38,1016.4,16.3,-5.8,70,0
15.01.2017-11:00,1.2,60,1016.8,71.4,-4.1,67,0
15.01.2017-12:00,0.8,60,1017.1,114.2,-2,56,1212.8333
15.01.2017-13:00,0.8,60,1017.8,131,-1.1,53,1094
15.01.2017-14:00,1.1,60,1018.3,112.4,-1.6,56,166.6667
15.01.2017-15:00,1.9,60,1019.1,66,-1.2,48,115.3334
15.01.2017-16:00,2.3,41,1019.5,13.1,-2.2,51,1
15.01.2017-17:00,0.6,0,1020.4,-6.6,-3.8,60,0
15.01.2017-18:00,1,0,1021.3,-7.1,-5,65,0
15.01.2017-19:00,0.8,0,1021.9,-7.1,-5.6,71,0
15.01.2017-20:00,1.3,0,1022.1,-7.3,-6.4,73,0
15.01.2017-21:00,0.8,0,1022.8,-7.2,-6.1,74,0
15.01.2017-22:00,1.2,0,1023.3,-7,-7.5,81,0
15.01.2017-23:00,1,0,1023.8,-6.9,-7.3,81,0
16.01.2017-00:00,0.6,0,1024.5,-6.6,-7.5,81,0
16.01.2017-01:00,0.7,0,1024.8,-6.6,-8.5,83,0
16.01.2017-02:00,0.8,0,1024.7,-6.6,-8.4,81,0
16.01.2017-03:00,1.2,0,1025.6,-6.5,-7.9,81,0
16.01.2017-04:00,0.8,0,1025.7,-6.2,-8,80,0
16.01.2017-05:00,0.6,0,1025.6,-6,-7,81,0
16.01.2017-06:00,1,0,1026,-6.8,-7.7,84,0
16.01.2017-07:00,0.6,0,1026.4,-6.5,-7.3,83,0
16.01.2017-08:00,0.8,0,1027,-6.9,-7,80,0
16.01.2017-09:00,1.9,0,1028,-5.4,-6.5,81,0
16.01.2017-10:00,1,19,1028.4,12.1,-5.8,76,0
16.01.2017-11:00,1.1,47,1028.7,70.1,-3,66,0
16.01.2017-12:00,1.5,60,1029,118.9,-2.3,63,1218.5833
16.01.2017-13:00,2,60,1029.1,135.1,-0.9,57,1198
16.01.2017-14:00,1.2,60,1029.2,115.6,-1.1,67,182.5001
16.01.2017-15:00,0.5,60,1029.3,67.6,-1.8,68,122.5
16.01.2017-16:00,0.1,42,1029.4,12.8,-2.7,69,6.1667
16.01.2017-17:00,0.9,0,1029.7,-6.9,-3.8,78,0
16.01.2017-18:00,0.5,0,1030.2,-6.8,-5.4,84,0
16.01.2017-19:00,1.7,0,1030.4,-7.2,-6,84,0
16.01.2017-20:00,1,0,1030.7,-7.3,-6.7,86,0
16.01.2017-21:00,0.3,0,1030.8,-6.3,-6.2,86,0
16.01.2017-22:00,0.8,0,1031.1,-6.7,-6.2,87,0
16.01.2017-23:00,0.7,0,1031.2,-6.3,-6.2,87,0
17.01.2017-00:00,0.8,0,1030.9,-5.9,-5.6,85,0
17.01.2017-01:00,1.1,0,1030.6,-5.8,-5,84,0
17.01.2017-02:00,0.9,0,1030.3,-6.2,-5.1,83,0
17.01.2017-03:00,1,0,1030.1,-5.9,-4.7,84,0
17.01.2017-04:00,0.8,0,1029.8,-5.8,-4.2,82,0
17.01.2017-05:00,0.7,0,1029.6,-5.9,-4,84,0
17.01.2017-06:00,0.8,0,1029.5,-5.6,-4,90,0
17.01.2017-07:00,0.7,0,1029.5,-5.2,-3.9,89,0
17.01.2017-08:00,1.2,0,1029.5,-5.7,-4.2,88,0
17.01.2017-09:00,1.4,0,1029.7,-5,-4.5,89,0
17.01.2017-10:00,0.5,0,1030,4.2,-4.4,88,0
17.01.2017-11:00,0.7,10,1029.9,60,-3.3,86,217.5
17.01.2017-12:00,1,0,1029.4,51.9,-2.8,86,327.5
17.01.2017-13:00,0.7,0,1029.2,48.3,-2.3,85,276.8334
17.01.2017-14:00,1.5,0,1028.8,34.5,-2.4,91,247.1667
