unique_id,amount,date_time_of_pickup,longitude_of_pickup,latitude_of_pickup,longitude_of_dropoff,latitude_of_dropoff,no_of_passenger
34:11.0,6.9,2009-08-02 02:34:11 UTC,-73.995781,40.723411,-74.005004,40.71895,2
53:00.0,3.7,2010-01-31 10:53:00 UTC,-74.00163,40.730767,-73.997112,40.737533,1
09:00.0,6.9,2010-05-14 08:09:00 UTC,-73.955118,40.768942,-73.963495,40.761887,2
20:00.0,10.1,2012-05-21 15:20:00 UTC,-73.977788,40.771838,-73.9662,40.778113,2
00:01.0,16.5,2014-12-08 16:00:01 UTC,-73.9828,40.745287,-74.01425,40.702935,1
33:00.0,15.07,2010-08-16 01:33:00 UTC,-73.961933,40.795585,-73.962253,40.764817,2
26:13.0,7.7,2010-12-04 14:26:13 UTC,-73.996601,40.736569,-73.982152,40.744322,1
20:00.0,24.9,2011-08-12 04:20:00 UTC,-74.006662,40.73121,-73.92594,40.825588,1
16:00.0,7,2013-02-06 22:16:00 UTC,-73.988425,40.764342,-74.001642,40.745752,2
24:21.0,8.5,2014-06-11 22:24:21 UTC,-73.994128,40.735087,-73.986393,40.751461,1
33:00.0,5.7,2010-08-19 16:33:00 UTC,-73.97383,40.763717,-73.98942,40.771522,1
44:00.0,5,2013-03-10 15:44:00 UTC,-74.01336,40.702272,-74.01699,40.709245,1
27:43.0,8.5,2013-06-14 08:27:43 UTC,-73.95371,40.790813,-73.957015,40.777676,1
24:00.0,17,2013-07-08 21:24:00 UTC,-74.009728,40.705167,-73.970897,40.749307,1
00:29.0,8,2014-03-21 11:00:29 UTC,-73.950688,40.828531,-73.964101,40.80814,1
39:56.0,12,2014-10-02 13:39:56 UTC,-73.995387,40.749482,-73.975789,40.748741,1
21:47.0,12.5,2011-08-31 08:21:47 UTC,-73.917399,40.746485,-73.973756,40.763836,1
26:00.0,7.5,2014-05-19 06:26:00 UTC,-73.990815,40.730495,-73.978337,40.751085,1
50:00.0,6.9,2012-04-05 05:50:00 UTC,-74.007443,40.732547,-73.991112,40.742312,5
55:40.0,5,2015-03-04 14:55:40 UTC,-73.98874664,40.74495316,-73.99568176,40.74422073,2
40:07.0,10.5,2010-04-27 21:40:07 UTC,-74.001135,40.730979,-73.984424,40.76463,1
09:16.0,7.7,2011-02-22 11:09:16 UTC,-73.968881,40.764533,-73.985311,40.748956,1
21:30.0,11,2015-04-03 16:21:30 UTC,-73.98105621,40.77426529,-73.95904541,40.78067398,2
01:20.0,5.7,2009-01-09 15:01:20 UTC,-73.992826,40.751271,-73.982786,40.742432,1
42:00.0,9,2013-01-09 14:42:00 UTC,-73.946852,40.775802,-73.96434,40.760703,1
18:00.0,13.5,2013-07-06 17:18:00 UTC,-73.950655,40.783282,-73.984365,40.769802,1
29:00.0,7.5,2013-10-08 17:29:00 UTC,-73.976512,40.765277,-73.977672,40.778052,1
26:00.0,9,2014-12-07 12:26:00 UTC,-73.984977,40.752122,-74.000925,40.757982,1
02:59.0,14,2015-05-17 08:02:59 UTC,-73.9792099,40.7236824,-74.01746368,40.71139526,1
53:00.0,5.7,2011-06-09 00:53:00 UTC,-73.983052,40.722588,-73.988022,40.733738,3
40:29.0,10,2014-11-12 12:40:29 UTC,-74.002581,40.739572,-73.99458,40.760682,1
49:00.0,5.7,2010-06-04 14:49:00 UTC,-73.993452,40.761447,-73.979662,40.759618,5
42:00.0,9.7,2010-11-08 20:42:00 UTC,-73.970705,40.761643,-73.992833,40.727647,2
24:34.0,14.1,2011-03-09 07:24:34 UTC,-73.974492,40.751369,-74.010585,40.703364,1
38:00.0,7.7,2011-08-04 10:38:00 UTC,-73.991607,40.76318,-73.982718,40.76239,2
08:52.0,52,2009-03-25 00:08:52 UTC,-74.035839,40.74732,-74.035839,40.74732,1
01:00.0,11.3,2010-03-22 10:01:00 UTC,-74.00767,40.732177,-73.974663,40.758932,1
22:45.0,8.5,2012-03-25 09:22:45 UTC,-73.986681,40.725659,-73.977068,40.754504,1
16:00.0,12.9,2012-06-05 09:16:00 UTC,-73.965315,40.790852,-73.978195,40.766375,6
33:14.0,9.5,2012-11-06 11:33:14 UTC,-73.972195,40.765883,-73.967942,40.761951,1
30:00.0,9,2014-05-22 18:30:00 UTC,-73.982272,40.748357,-73.969325,40.763877,1
28:00.0,10,2014-10-17 08:28:00 UTC,-73.991797,40.735262,-73.975915,40.748697,6
05:00.0,35,2012-12-06 18:05:00 UTC,-73.95331,40.787772,-73.944352,40.719772,2
05:00.0,9,2012-12-06 18:05:00 UTC,-73.96083,40.77308,-73.978372,40.774907,1
48:35.0,17,2014-07-20 12:48:35 UTC,-73.97339,40.743883,-73.954021,40.766063,1
41:00.0,6.1,2009-01-25 18:41:00 UTC,-74.000122,40.74308,-74.00615,40.734233,5
26:39.0,14.5,2010-03-27 02:26:39 UTC,-73.961598,40.716487,-73.960417,40.674963,2
39:00.0,3.7,2011-01-05 17:39:00 UTC,-73.966957,40.761268,-73.967912,40.765535,1
03:53.0,32.5,2012-05-11 15:03:53 UTC,-73.872862,40.774105,-73.970593,40.764393,2
20:12.0,5.3,2010-01-03 10:20:12 UTC,-73.995083,40.739527,-73.999599,40.726264,3
00:00.0,11.5,2012-11-08 21:00:00 UTC,-73.972018,40.750142,-74.006008,40.73622,5
34:03.0,4,2013-11-23 23:34:03 UTC,-73.993701,40.741569,-73.987999,40.748834,1
12:58.0,10.5,2010-06-17 16:12:58 UTC,-73.966473,40.7575,-73.993336,40.745051,1
56:34.0,17.7,2012-08-19 19:56:34 UTC,-73.87082,40.773748,-73.808317,40.7003,1
22:00.0,8,2013-01-17 17:22:00 UTC,0,0,0,0,2
39:08.0,5,2013-05-10 16:39:08 UTC,-73.971696,40.763378,-73.962035,40.776598,1
22:00.0,19,2013-09-17 04:22:00 UTC,-73.98721,40.729325,-73.931985,40.697207,1
21:00.0,8,2014-01-06 21:21:00 UTC,-73.988492,40.717977,-73.97818,40.737407,1
38:00.0,7.3,2010-09-30 08:38:00 UTC,-73.986588,40.72165,-74.008005,40.717167,2
47:00.0,6.5,2012-10-06 15:47:00 UTC,-73.98213,40.774807,-73.973583,40.789645,5
13:00.0,8,2013-02-11 00:13:00 UTC,-74.002843,40.733692,-73.987882,40.72859,1
10:00.0,16.5,2014-09-12 23:10:00 UTC,-73.983837,40.676052,-74.002522,40.723145,1
14:00.0,49.57,2009-09-22 21:14:00 UTC,-73.977023,40.7526,-73.79031,40.643783,2
46:35.0,10.5,2012-02-03 13:46:35 UTC,-73.988006,40.737723,-73.965699,40.766095,1
26:00.0,22.5,2012-02-12 01:26:00 UTC,-73.9882,40.75909,-73.923683,40.86861,5
47:00.0,11.5,2012-12-21 06:47:00 UTC,-73.947472,40.771227,-73.981832,40.760272,1
51:09.0,12.5,2014-11-01 16:51:09 UTC,-73.984723,40.748023,-73.977245,40.757891,2
36:00.0,5.5,2013-01-26 18:36:00 UTC,-73.950305,40.785607,-73.943587,40.789532,1
03:50.0,6.5,2013-05-20 11:03:50 UTC,-73.980735,40.747911,-73.97053,40.761998,1
33:18.0,16.5,2015-05-31 07:33:18 UTC,-73.99698639,40.75542831,-73.95319366,40.80210114,3
41:32.0,9,2015-02-15 22:41:32 UTC,-74.00344849,40.73310089,-74.00800323,40.70721436,1
29:00.0,8.9,2009-06-25 10:29:00 UTC,-73.9578,40.768003,-73.981712,40.763392,1
05:10.0,10.9,2009-07-23 17:05:10 UTC,-73.983735,40.746697,-73.954411,40.772219,1
00:27.0,8.9,2011-03-19 15:00:27 UTC,-73.98103,40.729782,-73.993011,40.752803,1
37:14.0,8.5,2011-05-06 11:37:14 UTC,-73.963115,40.774034,-73.975251,40.760823,1
50:04.0,17,2013-02-08 09:50:04 UTC,-73.962458,40.759027,-73.986199,40.753397,1
39:26.0,12.5,2010-08-24 01:39:26 UTC,-74.003848,40.720855,-73.98098,40.668304,1
19:00.0,52.5,2014-05-13 22:19:00 UTC,-73.982265,40.762062,-73.76855,40.675135,1
24:00.0,16,2014-10-25 21:24:00 UTC,-74.005677,40.745547,-73.962663,40.794295,1
21:12.0,8,2015-04-19 22:21:12 UTC,-73.98548889,40.74728012,-74.00767517,40.74076843,1
44:00.0,17.3,2010-05-17 07:44:00 UTC,-73.950972,40.785633,-74.01024,40.720302,1
37:00.0,5.7,2011-10-26 03:37:00 UTC,-74.00844,40.711253,-74.001313,40.731078,1
30:31.0,5.5,2015-04-18 09:30:31 UTC,-73.98091125,40.74206543,-73.97698975,40.75165558,1
31:21.0,16.5,2009-02-27 13:31:21 UTC,-73.974938,40.762091,-74.003309,40.706195,2
33:00.0,12.9,2009-07-16 20:33:00 UTC,-73.980755,40.680558,-73.98911,40.726788,2
10:38.0,10.1,2011-05-16 13:10:38 UTC,-73.991245,40.739058,-73.992972,40.76768,1
19:00.0,9.5,2013-08-09 21:19:00 UTC,-73.992583,40.730417,-74.005352,40.740247,1
40:00.0,4.5,2010-03-14 15:40:00 UTC,-73.979872,40.749027,-73.976553,40.757498,5
19:48.0,6.5,2011-04-27 13:19:48 UTC,-73.971541,40.764009,-73.975937,40.755971,1
16:06.0,21.5,2015-01-30 00:16:06 UTC,-74.00109863,40.72149658,-73.95943451,40.65306473,1
11:19.0,8,2014-11-04 12:11:19 UTC,-73.975189,40.759095,-73.98051,40.76761,1
07:39.0,4.9,2009-12-27 21:07:39 UTC,-74.003018,40.73978,-73.991533,40.733091,1
07:47.0,5.7,2010-07-04 13:07:47 UTC,-73.991037,40.750049,-73.980438,40.75193,2
33:00.0,15.3,2011-06-12 13:33:00 UTC,-73.949477,40.768018,-74.003118,40.733022,5
29:40.0,14.9,2012-08-28 12:29:40 UTC,-73.992214,40.758864,-73.9938,40.722718,1
23:00.0,7,2012-11-11 18:23:00 UTC,-73.999998,40.727087,-73.992448,40.735602,1
05:42.0,35.5,2013-03-24 18:05:42 UTC,-73.863891,40.770005,-74.007246,40.705533,1
26:00.0,8.5,2014-08-13 08:26:00 UTC,-73.954598,40.78676,-73.966013,40.768112,1
10:00.0,4.5,2009-01-16 21:10:00 UTC,-73.994143,40.751193,-73.988897,40.759742,1
43:46.0,4.1,2011-01-21 18:43:46 UTC,-73.982279,40.768364,-73.985968,40.762939,1
27:36.0,11.7,2011-02-26 20:27:36 UTC,-73.981496,40.781004,-73.99592,40.738813,1
35:01.0,23,2013-06-22 02:35:01 UTC,-73.997728,40.746099,-73.947656,40.829451,1
56:00.0,5.7,2009-06-06 23:56:00 UTC,-73.982357,40.762498,-73.97321,40.755345,2
51:00.0,5.3,2009-01-24 09:51:00 UTC,-73.96707,40.769178,-73.954895,40.77821,1
50:56.0,10.5,2015-02-27 07:50:56 UTC,-73.94402313,40.77595901,-73.95504761,40.78507996,1
48:49.0,4.9,2009-03-25 14:48:49 UTC,-73.982095,40.774001,-73.975373,40.787111,1
45:00.0,6.5,2010-09-10 18:45:00 UTC,-73.98353,40.766992,-73.986255,40.779708,4
47:02.0,11.3,2011-08-31 13:47:02 UTC,-73.981154,40.729204,-74.007407,40.74851,2
39:51.0,11.5,2013-04-12 04:39:51 UTC,-73.963511,40.761732,-73.917488,40.739776,1
46:11.0,5.3,2009-05-29 09:46:11 UTC,-73.983415,40.761844,-73.990414,40.756375,2
09:01.0,5.7,2010-07-15 19:09:01 UTC,-74.006055,40.733166,-74.002895,40.74553,1
52:00.0,8.1,2009-09-07 18:52:00 UTC,-73.952198,40.788107,-73.980767,40.774995,1
20:32.0,6.1,2010-06-09 06:20:32 UTC,-74.008083,40.719238,-73.99832,40.737977,1
02:44.0,9.3,2012-04-15 17:02:44 UTC,-73.995636,40.746573,-73.984437,40.767145,1
52:00.0,4.5,2013-02-06 14:52:00 UTC,-73.972072,40.755692,-73.972082,40.755727,2
56:00.0,5.7,2011-12-13 05:56:00 UTC,-73.99049,40.755982,-73.974202,40.75421,4
22:00.0,16.5,2014-07-27 08:22:00 UTC,-73.95485,40.76542,-74.00751,40.73877,2
23:56.0,17,2013-06-06 15:23:56 UTC,-73.954462,40.764046,-73.994593,40.729272,2
22:00.0,24.5,2014-07-12 15:22:00 UTC,-74.01278,40.707952,-73.997932,40.760632,6
14:00.0,6.1,2010-05-25 20:14:00 UTC,-74.005278,40.735298,-73.986698,40.729892,1
49:20.0,6,2012-09-08 00:49:20 UTC,-74.004935,40.729625,-74.016156,40.71741,1
55:58.0,6.5,2014-01-08 21:55:58 UTC,-73.998488,40.726303,-73.998488,40.726303,1
08:00.0,3.7,2010-09-05 17:08:00 UTC,0,0,0,0,5
57:00.0,4.5,2012-08-30 18:57:00 UTC,-73.9265,40.765577,-73.937897,40.76451,3
41:00.0,27,2013-05-02 07:41:00 UTC,-73.987285,40.718622,-73.959295,40.778482,1
28:00.0,16,2014-02-05 00:28:00 UTC,-73.996652,40.744495,-73.980253,40.737635,1
11:00.0,16.1,2010-01-12 17:11:00 UTC,-73.959222,40.763282,-73.9633,40.716935,1
14:23.0,15.7,2010-11-07 17:14:23 UTC,-73.974895,40.751455,-73.981754,40.783542,2
35:00.0,26.9,2012-04-22 00:35:00 UTC,-73.863072,40.768622,-73.982145,40.736167,6
36:00.0,5.5,2013-01-05 21:36:00 UTC,-73.989692,40.735497,-73.982012,40.739392,1
12:21.0,6,2013-10-05 09:12:21 UTC,-74.00031,40.747961,-73.993636,40.757229,1
53:00.0,7.7,2009-11-16 23:53:00 UTC,-74.00145,40.717487,-74.017455,40.709785,1
29:00.0,12.9,2011-04-05 11:29:00 UTC,-73.985185,40.72777,-73.980605,40.759143,1
39:00.0,11.3,2012-04-25 20:39:00 UTC,-73.993973,40.746577,-74.00506,40.709365,1
07:00.0,42.5,2011-01-10 16:07:00 UTC,-73.795677,40.807722,-73.978683,40.724365,2
10:00.0,5.7,2011-01-14 18:10:00 UTC,-73.98637,40.74738,-73.975567,40.744572,2
02:16.0,5.3,2012-04-02 08:02:16 UTC,-73.948001,40.77854,-73.958566,40.778483,2
57:54.0,10.5,2010-02-10 08:57:54 UTC,-73.954108,40.766901,-73.984133,40.743475,1
21:01.0,7.3,2011-05-31 22:21:01 UTC,-73.994009,40.76144,-73.972811,40.792574,1
32:42.0,4.5,2011-09-26 09:32:42 UTC,-73.995331,40.739986,-73.987655,40.736707,1
09:25.0,12.5,2012-10-23 08:09:25 UTC,-73.982332,40.768633,-73.983343,40.744372,1
29:00.0,16.5,2013-09-07 22:29:00 UTC,-73.9952,40.731697,-73.94977,40.780347,1
20:00.0,4.9,2012-07-31 19:20:00 UTC,-74.002707,40.72664,-73.991825,40.72722,2
00:00.0,4.1,2011-08-26 08:00:00 UTC,-73.990953,40.733067,-73.996235,40.72557,1
56:58.0,15.5,2013-03-17 12:56:58 UTC,-73.985132,40.76853,-74.002285,40.730008,1
11:09.0,11,2015-05-25 15:11:09 UTC,-73.97221375,40.76557159,-73.97958374,40.73646927,1
11:10.0,4.9,2009-04-08 19:11:10 UTC,-73.998287,40.72749,-73.989854,40.735239,2
57:52.0,11.3,2009-06-06 01:57:52 UTC,-73.980196,40.726966,-73.956413,40.77547,1
45:00.0,7.3,2011-02-27 14:45:00 UTC,-73.983758,40.74643,-73.963557,40.774088,1
28:00.0,14.9,2012-01-13 11:28:00 UTC,-73.955268,40.782767,-73.932382,40.794812,6
58:00.0,30.9,2012-03-16 07:58:00 UTC,-73.981942,40.763977,-73.870455,40.773607,5
57:27.0,6.1,2012-06-18 20:57:27 UTC,-73.98972,40.75238,-74.007553,40.743197,1
49:00.0,3.3,2010-02-23 09:49:00 UTC,-73.995802,40.749905,-73.994543,40.750907,1
05:08.0,4.1,2012-01-06 07:05:08 UTC,-73.991863,40.754275,-73.983796,40.753213,1
03:00.0,12,2014-07-21 14:03:00 UTC,-73.973857,40.764185,-73.994435,40.750242,3
44:33.0,9,2014-08-05 11:44:33 UTC,-73.991485,40.754599,-74.00497,40.751693,1
51:00.0,2.5,2012-03-29 03:51:00 UTC,-73.989142,40.720105,-73.988777,40.720662,1
43:00.0,8.9,2012-06-30 13:43:00 UTC,-73.98948,40.743287,-73.965692,40.754512,1
49:53.0,10.5,2014-01-31 04:49:53 UTC,-73.978991,40.72375,-73.963046,40.711855,1
40:00.0,5.7,2010-11-16 19:40:00 UTC,-74.000552,40.727492,-74.005037,40.719123,1
11:53.0,7,2012-12-15 19:11:53 UTC,-74.002462,40.718762,-74.007071,40.705536,2
51:54.0,12,2014-07-20 23:51:54 UTC,-73.984997,40.768466,-73.944564,40.800466,1
24:00.0,49.57,2010-05-24 14:24:00 UTC,-73.982483,40.75674,-73.789985,40.64691,1
14:35.0,8.5,2011-07-24 01:14:35 UTC,0,0,0,0,2
33:00.0,4.5,2012-08-18 18:33:00 UTC,-73.947035,40.776027,-73.955498,40.764307,1
32:00.0,7.3,2009-08-08 21:32:00 UTC,-73.977897,40.762802,-73.99153,40.750252,5
28:00.0,5.3,2010-01-08 00:28:00 UTC,-73.986402,40.754723,-73.998898,40.739248,1
28:00.0,6.9,2010-09-19 19:28:00 UTC,-73.967425,40.755712,-73.983035,40.734913,5
14:00.0,9.3,2012-05-16 18:14:00 UTC,-73.971088,40.792648,-73.968405,40.769673,1
54:52.0,6.7,2009-02-13 16:54:52 UTC,-73.959669,40.779718,-73.976259,40.788413,1
28:37.0,7.3,2009-06-20 19:28:37 UTC,-73.979345,40.77663,-73.973842,40.757074,1
08:00.0,9,2013-09-03 08:08:00 UTC,-73.98088,40.779967,-73.953747,40.78777,1
33:27.0,13,2013-01-20 14:33:27 UTC,-74.008125,40.738935,-73.980522,40.759953,2
51:13.0,19,2013-07-31 06:51:13 UTC,-73.988834,40.76428,-73.941405,40.838664,1
12:59.0,5.5,2013-09-09 22:12:59 UTC,-73.976474,40.765048,-73.964665,40.762986,1
28:00.0,8.1,2009-01-23 07:28:00 UTC,-73.996068,40.732605,-73.980675,40.761862,1
19:49.0,9.3,2011-02-18 13:19:49 UTC,-73.973211,40.760752,-73.974265,40.788281,1
51:00.0,18,2013-05-11 19:51:00 UTC,-73.997845,40.721235,-73.988257,40.764125,1
17:00.0,12,2014-09-13 12:17:00 UTC,-73.984227,40.766897,-73.96239,40.776037,1
59:27.0,7.3,2009-04-21 22:59:27 UTC,-73.968534,40.752603,-73.992625,40.742916,1
17:20.0,4.9,2009-09-26 15:17:20 UTC,-73.95554,40.781958,-73.962196,40.772095,2
33:07.0,16.1,2010-05-28 21:33:07 UTC,-73.789506,40.64704,-73.815622,40.680364,1
20:11.0,12.9,2011-05-02 08:20:11 UTC,-73.978602,40.76412,-74.008858,40.715637,2
00:23.0,4,2015-02-14 19:00:23 UTC,-73.9619751,40.7761116,-73.95484924,40.77407455,1
44:59.0,15.3,2011-05-02 12:44:59 UTC,-74.006636,40.751407,-73.954979,40.765281,1
33:00.0,11.7,2012-06-24 17:33:00 UTC,-73.954497,40.769857,-73.984315,40.746007,1
29:57.0,25.3,2010-05-22 23:29:57 UTC,-74.001343,40.74132,-73.928619,40.864267,1
22:05.0,8.9,2010-06-30 02:22:05 UTC,-73.993112,40.719911,-73.956729,40.720723,1
06:00.0,6,2013-04-26 02:06:00 UTC,-73.978778,40.753502,-73.973247,40.748147,1
57:12.0,6,2013-05-02 03:57:12 UTC,-73.99578,40.716218,-74.009132,40.72078,1
44:28.0,6.5,2011-01-23 11:44:28 UTC,-74.003665,40.736906,-73.997843,40.724187,1
06:27.0,7.5,2012-10-14 21:06:27 UTC,-73.97733,40.74948,-73.987669,40.732709,1
07:57.0,16.5,2015-04-30 14:07:57 UTC,-74.00399017,40.74797821,-73.98319244,40.75632858,1
44:33.0,4.9,2010-07-12 09:44:33 UTC,-73.983249,40.734655,-73.991278,40.738918,1
03:15.0,9.7,2012-01-08 19:03:15 UTC,-73.962981,40.766443,-73.98893,40.731434,1
00:36.0,7.7,2012-04-24 13:00:36 UTC,-73.97935,40.784608,-73.963933,40.808145,1
42:16.0,19,2014-05-09 09:42:16 UTC,-73.968675,40.799103,-73.935898,40.849863,2
53:52.0,16.9,2009-07-31 13:53:52 UTC,-73.990057,40.756307,-73.949604,40.834464,1
17:00.0,10.5,2012-11-18 12:17:00 UTC,-74.002198,40.739608,-73.987342,40.720295,2
07:00.0,8.9,2011-06-15 18:07:00 UTC,-73.99633,40.753225,-73.978895,40.766963,3
53:42.0,7.5,2012-08-25 01:53:42 UTC,-73.995892,40.746454,-73.995892,40.746454,1
41:00.0,5.5,2012-09-06 13:41:00 UTC,-74.005583,40.740728,-74.003423,40.748705,1
17:00.0,10.9,2009-05-13 18:17:00 UTC,-73.964958,40.775261,-73.949661,40.809689,1
13:00.0,8.1,2009-10-30 18:13:00 UTC,0,0,0,0,4
